run_type,seed,model,vina_kcal_mol,slahs_min_A,lvtkl_min_A,slahs_contact_le4A,lvtkl_contact_le4A,dual_contact_le4A
sensitivity,20260922,COMBO_015,-5.219,2.8894,2.9154,1,1,1
sensitivity,20260922,COMBO_016,-4.648,2.8165,3.1766,1,1,1
sensitivity,20260922,COMBO_017,-4.425,3.4067,2.8316,1,1,1
sensitivity,20260922,COMBO_018,-5.411,2.8556,2.9469,1,1,1
sensitivity,20260922,COMBO_019,-5.279,2.9845,2.8626,1,1,1
sensitivity,20260922,COMBO_020,-5.495,2.9194,2.9565,1,1,1
sensitivity,20260922,COMBO_021,-4.751,2.8577,3.0475,1,1,1
sensitivity,20260922,COMBO_022,-4.403,3.0948,2.7609,1,1,1
sensitivity,20260922,COMBO_023,-4.936,3.1562,3.4273,1,1,1
sensitivity,20260922,COMBO_024,-5.293,2.7147,2.9564,1,1,1
sensitivity,20260922,COMBO_025,-4.745,3.094,2.9154,1,1,1
sensitivity,20260922,COMBO_026,-4.798,3.4008,3.1552,1,1,1
sensitivity,20260922,COMBO_027,-4.657,2.9305,3.3808,1,1,1
sensitivity,20260922,COMBO_028,-4.53,5.2665,2.7036,0,1,0
sensitivity,20260922,COMBO_029,-5.34,2.8754,3.0198,1,1,1
sensitivity,20260922,COMBO_030,-5.551,2.9072,2.8366,1,1,1
sensitivity,20260922,COMBO_031,-4.457,2.8735,3.5716,1,1,1
sensitivity,20260922,COMBO_032,-4.893,2.9911,3.0895,1,1,1
sensitivity,20260922,COMBO_033,-4.448,3.138,3.0826,1,1,1
sensitivity,20260922,COMBO_034,-4.681,3.3385,3.2633,1,1,1
sensitivity,20260922,COMBO_035,-4.753,3.7384,3.0732,1,1,1
sensitivity,20260922,COMBO_036,-4.244,3.5759,3.0982,1,1,1
sensitivity,20260922,COMBO_037,-4.54,3.4415,3.2758,1,1,1
sensitivity,20260922,COMBO_038,-4.478,3.5926,2.8151,1,1,1
sensitivity,20260922,COMBO_039,-4.316,3.0127,2.8075,1,1,1
sensitivity,20260922,COMBO_040,-5.457,3.0892,3.0376,1,1,1
sensitivity,20260922,COMBO_041,-4.62,3.8302,2.7631,1,1,1
sensitivity,20260922,COMBO_042,-5.183,2.9279,3.0956,1,1,1
sensitivity,20260922,COMBO_043,-4.905,2.904,3.2586,1,1,1
sensitivity,20260922,COMBO_044,-4.646,3.0237,2.8758,1,1,1
sensitivity,20260922,COMBO_045,-4.572,2.9621,3.0646,1,1,1
sensitivity,20260922,COMBO_046,-4.379,2.8226,3.2139,1,1,1
sensitivity,20260922,COMBO_047,-4.488,3.7643,3.1208,1,1,1
