#Time_ns State SLAHS_mindist_A LVTKL_mindist_A
3.55 D 3.3224 3.3237
3.56 D 3.3291 3.4114
3.57 D 3.2825 3.4810
3.58 D 3.1060 3.4208
3.59 D 3.2785 3.1974
3.60 D 3.2017 3.4825
3.61 D 3.3438 3.2025
3.62 D 3.6913 2.8410
3.63 D 3.4904 3.1358
3.64 D 3.1790 2.7906
3.65 D 3.0353 2.9648
3.66 D 3.3436 2.6145
3.67 D 3.3893 3.3824
3.68 D 3.2607 3.0447
3.69 D 3.1835 3.1709
3.70 D 3.4358 3.1026
3.71 D 3.7616 3.4237
3.72 D 3.6266 2.8808
3.73 D 3.5372 3.0413
3.74 D 3.5111 3.1138
3.75 D 3.5173 2.7450
3.76 D 3.3025 3.1867
3.77 D 3.6144 3.2130
3.78 D 3.5396 3.2113
3.79 D 3.6841 2.7845
3.80 D 3.2771 2.9734
3.81 D 3.5711 3.0474
3.82 D 3.6273 3.0462
3.83 D 3.1631 3.2542
3.84 D 3.4863 2.9115
3.85 D 3.1720 3.0324
3.86 D 3.4357 3.0562
3.87 D 3.7292 3.1681
3.88 D 3.1695 2.9570
3.89 D 3.2510 2.9257
3.90 D 3.6501 2.9645
3.91 D 3.4648 2.7170
3.92 D 3.5386 3.5161
3.93 D 3.4903 2.6487
3.94 D 3.6985 3.2534
3.95 D 3.3751 3.3554
3.96 D 3.4621 2.9061
3.97 D 3.4916 2.9730
3.98 L 4.4470 2.9339
3.99 D 3.7041 2.8780
4.00 D 3.2990 3.0703
4.01 D 3.4856 3.0031
4.02 D 3.3714 2.8846
4.03 D 3.5855 2.8815
4.04 D 3.5089 2.8371
4.05 D 3.9921 3.1187
4.06 D 3.5193 2.7013
4.07 L 4.8965 3.1292
4.08 L 4.5013 2.7893
4.09 D 3.7390 3.0838
4.10 D 3.7740 3.1527
4.11 D 3.4556 2.8795
4.12 D 3.6418 2.9259
4.13 D 3.5446 2.9062
4.14 D 3.4827 2.7990
4.15 D 3.6030 2.9164
4.16 D 3.5559 2.8667
4.17 D 3.7023 3.0099
4.18 D 3.7408 3.0222
4.19 D 3.7104 3.0588
4.20 D 3.2965 2.6643
4.21 D 3.5286 3.0870
4.22 D 3.4467 3.2643
4.23 D 3.4194 2.9746
4.24 D 3.5286 3.1081
4.25 D 3.5378 3.0138
4.26 D 3.5179 3.0135
4.27 D 3.7406 2.9135
4.28 D 3.5449 2.9186
