frame,time_ns,mic_min_atom_atom_A,mic_centroid_separation_A,raw_min_atom_atom_A,raw_centroid_separation_A,box_a_A,box_b_A,box_c_A
23,0.23,3.1826960227951333,11.234155583321025,3.1826960221342535,11.234155583321025,38.85085,36.455185,41.16402
24,0.24,4.2743365656423755,11.28767034160119,4.274336655506961,11.28767034160119,38.70027,36.313892,41.00448
25,0.25,5.062745791816249,11.348950490393158,5.062745665601645,11.348950490393158,38.864723,36.468204,41.178722
26,0.26,4.05183415669341,10.936734826669685,4.05183420014865,10.936734826669685,38.91298,36.513485,41.229847
27,0.27,4.674635545536345,11.477022043967603,4.674635525064088,11.477022043967603,38.764294,36.373966,41.072308
28,0.28,4.551690716114966,11.546769809337656,4.551690815168553,11.546769809337656,38.80842,36.41537,41.119064
29,0.29,4.611823170257564,11.787144698974714,4.611823282072932,11.787144698974714,38.718136,36.330654,41.023403
30,0.3,5.309390957764962,12.514486630394172,5.309390933194553,12.514486630394172,38.9272,36.52683,41.244915
31,0.31,5.55732817420741,12.756963759794969,5.557328123400208,12.756963759794969,38.671257,36.286667,40.973736
32,0.32,6.0480755671272215,13.89337812368448,6.048075559748912,13.89337812368448,38.835026,36.44034,41.147255
33,0.33,5.748770312844049,13.392054979899832,5.748770421500644,13.392054979899832,38.939312,36.538193,41.25775
34,0.34,5.68602749200754,12.86052435695232,5.6860275504895,12.860524356952318,38.938587,36.537514,41.256985
35,0.35000000000000003,5.0858773291829475,12.720799892389126,5.08587731759534,12.720799892389126,38.716694,36.329304,41.021877
36,0.36,4.74888054964078,12.66086247645229,4.748880675829252,12.66086247645229,38.86234,36.46597,41.176193
37,0.37,5.4590416309279535,13.18511678749838,5.459041698564891,13.18511678749838,38.7621,36.37191,41.069984
38,0.38,5.415239828973861,12.719691369871024,5.415239882481116,12.719691369871024,38.7587,36.36872,41.066387
39,0.39,5.270848045102708,12.771761817813852,5.270848140228902,12.771761817813852,38.770546,36.379833,41.078934
40,0.4,4.820361569835805,12.978801212794973,4.820361592414715,12.978801212794975,38.753155,36.363518,41.06051
41,0.41000000000000003,5.467020493543154,13.058701190215707,5.467020558040844,13.058701190215707,38.838047,36.443172,41.150455
42,0.42,5.281276959305249,13.899060038239908,5.281276871722948,13.899060038239908,38.79333,36.401215,41.103077
43,0.43,5.489302036816398,12.756281887796867,5.489301972184634,12.756281887796867,38.86337,36.466934,41.177288
44,0.44,5.213248872601352,12.49800698356889,5.213248869703368,12.49800698356889,38.74448,36.355373,41.051315
45,0.45,5.3353052852205956,12.79327655700721,5.335305345235037,12.79327655700721,38.720707,36.33307,41.02613
46,0.46,5.27770765278296,12.264252713749778,5.277707513314277,12.264252713749778,38.829987,36.43561,41.14192
47,0.47000000000000003,4.953499312651965,12.015389105334354,4.953499458959747,12.015389105334354,38.861317,36.465008,41.17511
48,0.48,5.210219614799389,11.77363879360034,5.210219463752646,11.77363879360034,38.726517,36.33852,41.032288
49,0.49,5.484569591168622,12.243586602933963,5.4845694967692316,12.243586602933965,38.664116,36.279964,40.966167
50,0.5,4.875580191838059,11.523649394213388,4.875580205974754,11.523649394213388,38.767933,36.37738,41.076164
51,0.51,5.630298416727819,12.085207953977873,5.630298324013518,12.085207953977873,38.699013,36.312714,41.003143
52,0.52,5.281482839302792,11.799154067841094,5.28148268786581,11.799154067841094,38.815887,36.42238,41.126976
53,0.53,5.802901983344295,12.295897865102859,5.802902051530625,12.29589786510286,38.79268,36.400604,41.102386
54,0.54,4.71830125229802,11.971515656512006,4.718301170769824,11.971515656512006,38.721462,36.33378,41.02693
55,0.55,5.693908812203533,13.01464208656115,5.693908790221782,13.01464208656115,38.73421,36.345737,41.040436
56,0.56,5.262016427265309,12.226230061889513,5.262016527062686,12.226230061889511,38.710392,36.32339,41.0152
57,0.5700000000000001,5.361122547453175,11.878968440668634,5.361122582926238,11.878968440668634,38.80687,36.413918,41.117424
