model,COMBO_011_R01,COMBO_011_R02,COMBO_011_R03,COMBO_011_R04,COMBO_011_R05,COMBO_011_R06,COMBO_011_R07,COMBO_011_R08,COMBO_011_R09,COMBO_011_R10,COMBO_011_R11,COMBO_011_R12,COMBO_011_R13,COMBO_011_R14,COMBO_011_R15,COMBO_011_R16,COMBO_011_R17,COMBO_011_R18,COMBO_011_R19,COMBO_011_R20,COMBO_011_R21,COMBO_011_R22,COMBO_011_R23,COMBO_011_R24,COMBO_011_R25,COMBO_011_R26,COMBO_011_R27,COMBO_011_R28,COMBO_011_R29,COMBO_011_R30,COMBO_025_R01,COMBO_025_R02,COMBO_025_R03,COMBO_025_R04,COMBO_025_R05,COMBO_025_R06,COMBO_025_R07,COMBO_025_R08,COMBO_025_R09,COMBO_025_R10,COMBO_025_R11,COMBO_025_R12,COMBO_025_R13,COMBO_025_R14,COMBO_025_R15,COMBO_025_R16,COMBO_025_R17,COMBO_025_R18,COMBO_025_R19,COMBO_025_R20,COMBO_025_R21,COMBO_025_R22,COMBO_025_R23,COMBO_025_R24,COMBO_025_R25,COMBO_025_R26,COMBO_025_R27,COMBO_025_R28,COMBO_025_R29,COMBO_025_R30,COMBO_030_R01,COMBO_030_R02,COMBO_030_R03,COMBO_030_R04,COMBO_030_R05,COMBO_030_R06,COMBO_030_R07,COMBO_030_R08,COMBO_030_R09,COMBO_030_R10,COMBO_030_R11,COMBO_030_R12,COMBO_030_R13,COMBO_030_R14,COMBO_030_R15,COMBO_030_R16,COMBO_030_R17,COMBO_030_R18,COMBO_030_R19,COMBO_030_R20,COMBO_030_R21,COMBO_030_R22,COMBO_030_R23,COMBO_030_R24,COMBO_030_R25,COMBO_030_R26,COMBO_030_R27,COMBO_030_R28,COMBO_030_R29,COMBO_030_R30,COMBO_031_R01,COMBO_031_R02,COMBO_031_R03,COMBO_031_R04,COMBO_031_R05,COMBO_031_R06,COMBO_031_R07,COMBO_031_R08,COMBO_031_R09,COMBO_031_R10,COMBO_031_R11,COMBO_031_R12,COMBO_031_R13,COMBO_031_R14,COMBO_031_R15,COMBO_031_R16,COMBO_031_R17,COMBO_031_R18,COMBO_031_R19,COMBO_031_R20,COMBO_031_R21,COMBO_031_R22,COMBO_031_R23,COMBO_031_R24,COMBO_031_R25,COMBO_031_R26,COMBO_031_R27,COMBO_031_R28,COMBO_031_R29,COMBO_031_R30,COMBO_044_R01,COMBO_044_R02,COMBO_044_R03,COMBO_044_R04,COMBO_044_R05,COMBO_044_R06,COMBO_044_R07,COMBO_044_R08,COMBO_044_R09,COMBO_044_R10,COMBO_044_R11,COMBO_044_R12,COMBO_044_R13,COMBO_044_R14,COMBO_044_R15,COMBO_044_R16,COMBO_044_R17,COMBO_044_R18,COMBO_044_R19,COMBO_044_R20,COMBO_044_R21,COMBO_044_R22,COMBO_044_R23,COMBO_044_R24,COMBO_044_R25,COMBO_044_R26,COMBO_044_R27,COMBO_044_R28,COMBO_044_R29,COMBO_044_R30
COMBO_025_R06,8.846258,8.535111,7.939606,8.394765,9.332326,7.769866,9.890619,8.044247,9.365640,9.254883,9.303828,9.434501,8.794641,8.389242,9.242876,9.635569,9.232359,9.699045,8.778266,9.407079,8.179667,8.567038,8.819725,9.740692,10.135294,9.282768,9.416375,8.841039,9.004376,9.515743,8.733278,7.785608,7.018512,9.200363,9.319413,0.000000,4.892804,8.447462,8.681138,9.137826,9.025721,8.628623,8.475544,8.331342,8.648142,9.383932,9.457780,8.300168,9.101312,8.400632,8.558789,9.292990,8.720162,9.210002,8.957965,8.246154,8.154961,8.386387,9.061124,9.391513,10.726431,10.696857,12.957578,10.339121,10.723104,13.436195,10.687780,10.366671,9.521107,9.585944,10.576225,10.399159,10.677966,10.968045,10.754137,10.794726,9.896335,10.165181,12.250379,9.312101,10.130677,11.179775,10.406178,9.583477,10.832831,10.017145,10.149111,10.820486,9.963606,10.657492,11.752799,10.979060,11.410678,11.673270,11.089804,11.296562,11.531431,11.755823,11.673236,12.038265,9.309511,11.813264,8.647462,11.186205,11.599776,12.501362,11.676164,11.239684,11.386798,11.540718,11.314956,11.730900,11.296915,11.342281,11.325483,11.656507,11.424095,11.227368,10.850261,11.981115,9.108364,9.370593,8.736299,5.644302,9.334726,5.817975,9.465600,5.023567,5.765366,9.402412,9.006444,5.376482,4.525798,5.592924,7.430507,5.278086,7.674368,8.803896,6.067066,9.520461,5.562420,5.804103,8.098958,5.335884,9.282683,8.946130,8.755096,5.412296,7.296713,5.621885
COMBO_025_R07,7.835642,6.915744,6.366350,8.255517,7.859950,6.279768,8.510891,6.743427,7.908020,7.997123,7.888798,7.912413,6.058795,8.337658,7.865313,7.907601,8.055719,8.455754,7.558025,7.920590,5.195011,7.642785,7.727496,8.567902,8.379747,8.012705,8.190193,7.727867,7.991345,8.372536,8.202710,7.864131,4.731292,8.589178,9.655594,4.892804,0.000000,7.826385,8.093116,7.932103,8.511297,8.216360,8.228958,7.778180,8.441931,8.508774,8.603975,7.549934,8.107502,7.656999,8.101013,8.819356,8.042468,8.479165,8.311032,7.784070,8.589665,8.497436,9.323162,8.069599,7.759616,7.698497,11.205822,7.532444,7.647891,11.453776,6.985508,7.423765,9.145041,9.123318,7.662364,7.445009,7.211893,7.536237,7.207055,7.977847,6.528718,6.979354,10.983212,8.879730,6.886834,7.922772,7.428011,9.001539,7.927416,6.815279,6.431109,7.892361,6.511074,7.630599,10.386000,9.350893,9.911616,10.299318,9.693558,10.098948,10.323620,10.578769,10.378460,8.231683,7.021266,10.465333,7.155344,9.989094,10.439304,11.628866,10.326137,10.052151,10.144520,10.306084,10.003025,10.407952,9.987105,9.901495,10.091661,10.357197,9.653588,9.997533,9.649258,8.370000,7.426450,8.254396,6.956874,4.798007,8.331022,2.477094,8.373405,3.702627,5.521091,7.522460,8.649661,4.896963,4.334415,5.361343,6.402573,4.908999,6.572762,8.617053,5.614667,8.586830,4.781493,2.466530,6.862466,4.960861,7.362000,8.629520,7.009844,4.748093,6.309696,4.743927
COMBO_025_R08,3.007532,5.302886,6.089686,7.132875,9.534592,5.654214,4.893430,6.148494,9.477551,2.761642,9.189267,9.418315,9.191675,7.432584,9.249450,9.543204,3.036240,4.495065,2.585967,9.513780,9.052490,2.886772,2.878917,4.294471,4.815308,9.736757,3.600504,2.911842,2.774125,4.675635,1.574974,4.649332,8.375739,3.583808,9.466542,8.447462,7.826385,0.000000,1.519329,3.562802,2.121078,1.675775,1.983589,0.354798,2.107471,3.459150,3.519283,0.855771,3.060525,0.542633,2.066921,3.656822,1.551077,3.211280,1.740526,1.427870,3.590047,3.121705,9.045486,3.832626,10.703798,10.532531,9.404372,10.682634,10.574399,9.762665,9.704524,10.475311,9.715286,9.920691,10.704076,10.499583,9.820928,9.925684,9.757162,10.927565,9.647770,9.522937,8.645469,10.046115,9.476637,10.414885,10.476173,10.154492,10.842975,10.103051,9.601395,10.872226,9.380848,10.517348,7.364722,7.358395,6.920710,7.501514,8.140237,7.901400,8.208772,8.122866,7.778878,10.155013,7.327982,7.439455,8.844189,7.867046,8.342885,10.634303,7.314608,7.554567,8.048589,8.006253,7.750666,8.159263,7.435985,7.608484,7.848797,7.843591,7.548688,8.117603,8.783494,10.568398,8.700290,8.346538,9.380260,6.371151,8.759549,8.119494,7.919553,7.773804,6.512881,8.065560,7.637026,6.619840,7.792541,6.527867,8.823397,6.553837,8.762629,7.892004,6.512192,8.198563,6.579749,8.129016,8.743923,6.803557,8.238268,7.522167,9.315942,6.700592,8.623644,6.799839
COMBO_025_R09,3.279529,5.373554,6.472340,7.268809,9.589053,5.978573,4.918448,6.521571,9.532291,3.089013,9.217198,9.475495,9.345792,7.569247,9.292206,9.599581,3.316992,4.540707,2.998250,9.567491,9.007071,3.204853,3.241164,4.354401,4.641580,9.706350,3.774189,3.233363,3.013030,4.710098,0.320113,4.581284,8.492049,3.212011,9.443011,8.681138,8.093116,1.519329,0.000000,3.564242,1.498549,0.570186,1.203806,1.566262,1.329751,3.134007,3.186882,1.827480,3.467184,1.683589,1.372299,3.276820,0.506200,3.465209,0.843721,2.002269,3.673451,2.640914,9.024179,4.048444,10.809327,10.648782,9.467039,10.786844,10.692560,9.842245,10.000316,10.577625,9.712817,9.921794,10.801539,10.593835,10.034927,10.132438,9.967072,11.038188,9.791286,9.726244,8.663047,10.026177,9.677815,10.530200,10.583488,10.142310,10.950249,10.228584,9.753085,10.965834,9.651806,10.630789,7.261391,7.309734,6.844580,7.406880,8.086207,8.053762,8.372040,8.121730,7.769913,10.324092,7.444964,7.324842,8.931793,7.857003,8.539833,10.842669,7.223716,7.708259,8.232705,8.036360,7.924777,8.120217,7.563712,7.798367,8.009703,7.838205,7.508577,8.268585,8.871362,10.780407,8.652839,8.293603,9.352323,6.510278,8.719337,8.378140,7.851861,7.955086,6.779142,7.983669,7.552438,6.765955,7.970129,6.781367,9.028155,6.822562,8.974983,7.844596,6.654738,8.218497,6.724599,8.387935,8.968010,6.941899,8.162312,7.439332,9.285055,6.969739,8.814645,7.065442
COMBO_025_R10,5.020771,6.375982,6.950327,7.816976,10.148656,6.078784,6.650700,7.032129,10.140923,4.850806,9.850196,10.107728,10.036995,8.077649,9.884649,10.107636,5.063977,6.348437,4.620596,10.212624,9.690601,4.906046,4.962833,6.124922,6.179819,10.804243,5.509132,4.965806,4.858350,6.330064,3.555726,5.716228,7.713438,3.203231,10.344122,9.137826,7.932103,3.562802,3.564242,0.000000,3.577599,3.675632,3.725235,3.615749,3.941867,2.198301,2.507986,3.609044,2.412761,3.540287,3.900564,2.573642,3.513092,2.953377,3.672892,3.437980,5.238634,4.669685,9.780119,1.802113,10.685173,10.493298,10.075005,10.675991,10.555337,10.376732,9.807227,10.385726,10.546547,10.762959,10.730440,10.460028,9.666566,9.698752,9.506925,10.981198,9.589696,9.305189,9.397945,10.899279,9.251295,10.319614,10.471215,11.024168,10.862585,10.535351,9.660717,10.880253,9.241938,10.457681,7.952833,8.375507,7.954596,8.060788,8.815484,8.554786,8.751919,8.790456,8.378737,10.340284,6.702676,7.992738,9.858641,8.586805,8.886728,10.728068,7.959602,8.178414,8.670496,8.620746,8.364252,8.643674,8.028355,8.244276,8.469973,8.474722,8.589856,8.723622,9.624323,10.727895,9.405922,9.129718,10.030436,6.862012,9.538377,8.630096,8.713544,8.021612,7.146865,8.980149,8.543063,7.125546,8.329464,7.149387,9.295903,7.271585,9.223990,8.889020,6.655054,9.139919,7.034104,8.651948,9.186652,7.325932,9.087661,8.413345,9.946596,7.327203,9.109613,7.458166
COMBO_025_R11,4.414672,6.363776,7.445556,7.801384,9.965914,6.847134,5.727016,7.504037,9.938110,4.013571,9.691049,9.899856,9.568256,8.074200,9.723036,9.967457,4.256918,5.327434,4.176874,9.973346,9.246125,4.447689,4.361152,5.027233,5.604403,10.289891,4.710653,4.421020,4.038996,5.534063,1.242707,5.582722,8.857967,3.615803,10.302020,9.025721,8.511297,2.121078,1.498549,3.577599,0.000000,1.641155,2.174450,2.308513,1.811766,3.043102,3.070633,2.681131,3.552487,2.323648,2.608833,3.133783,1.317800,3.696382,1.011572,2.308505,4.363905,3.403857,9.878646,4.032663,10.867197,10.692866,9.770617,10.857367,10.756810,10.063737,10.124657,10.651879,10.417368,10.616696,10.880282,10.664240,9.894543,9.953460,9.880358,11.099491,9.740836,9.556258,9.149708,10.672910,9.533918,10.553205,10.673318,10.792088,11.004301,10.307286,9.877039,11.042319,9.581912,10.660648,6.686206,7.351647,6.748968,6.754108,7.515745,7.612911,7.797771,7.621446,7.232928,10.735122,7.062880,6.628743,9.192793,7.282235,7.977049,10.151066,6.614143,7.221938,7.718361,7.569874,7.337817,7.398530,7.006207,7.130902,7.538335,7.368031,7.565652,7.761101,8.620763,11.153549,9.401705,9.004940,10.029163,7.079312,9.413650,8.862761,8.601951,8.432437,7.228984,8.597010,8.447247,7.363315,8.631462,7.270492,9.103941,7.505020,9.037520,8.748866,7.272495,9.005257,7.291864,8.858314,9.005650,7.540056,8.762023,8.344526,9.981939,7.565507,8.870263,7.726120
COMBO_025_R12,3.283046,5.681059,6.673625,7.429269,9.605151,6.220454,4.853659,6.691996,9.548730,3.280187,9.201765,9.492218,9.518900,7.717996,9.285247,9.633695,3.381046,4.477868,3.185056,9.591102,9.183595,3.198678,3.345216,4.322760,4.708444,9.644758,3.753313,3.331513,3.061090,4.623276,0.519994,4.518062,8.495569,3.137184,9.162689,8.628623,8.216360,1.675775,0.570186,3.675632,1.641155,0.000000,0.779564,1.669411,0.836093,3.242796,3.294977,2.020136,3.590858,1.947256,1.112400,3.203818,1.041332,3.456287,1.101838,2.143122,3.187661,2.119377,8.746749,4.130257,11.018720,10.862709,9.544981,11.005735,10.922506,9.937323,10.327802,10.764397,9.576774,9.798671,11.006027,10.797328,10.367709,10.474118,10.311673,11.232342,10.081600,10.032837,8.756136,9.910918,9.989785,10.803534,10.789899,10.044194,11.152736,10.467005,10.041894,11.179656,9.977202,10.857845,7.483662,7.283583,6.835841,7.628552,8.352844,8.299980,8.602369,8.343187,8.010640,10.668841,7.839513,7.518157,9.002524,8.099181,8.762926,10.933346,7.439003,7.955248,8.474122,8.281890,8.180703,8.362202,7.810593,8.061786,8.253188,8.081066,7.508425,8.516758,9.167463,11.106741,8.534577,8.151995,9.283390,6.790019,8.584862,8.589452,7.704884,8.087795,7.020241,7.896218,7.338850,7.016512,8.145650,7.021606,9.211088,7.054334,9.170589,7.607057,6.813783,8.071531,6.995946,8.597555,9.181679,7.184506,8.081498,7.212159,9.202960,7.220165,8.996565,7.319149
COMBO_025_R13,3.468747,5.870522,6.712296,7.646667,9.903607,6.342724,5.102788,6.737741,9.840645,3.716266,9.454519,9.778475,9.851043,7.929484,9.550306,9.942627,3.708016,4.757931,3.434374,9.896044,9.483751,3.255088,3.583081,4.664828,5.040693,9.760837,4.011117,3.565477,3.386006,4.858340,1.218017,4.622219,8.333658,3.311491,8.879286,8.475544,8.228958,1.983589,1.203806,3.725235,2.174450,0.779564,0.000000,1.856296,1.089120,3.528835,3.619027,2.134786,3.850930,2.218905,0.800926,3.360176,1.636322,3.659354,1.848291,2.307274,2.723629,1.774643,8.423584,4.156310,11.336830,11.166880,9.994854,11.342269,11.240637,10.409566,10.707267,11.045093,9.646211,9.877785,11.319220,11.102786,10.807148,10.924437,10.733786,11.555322,10.498052,10.466748,9.088577,10.002671,10.419884,11.145017,11.093439,10.159491,11.474782,10.819953,10.402130,11.517582,10.387152,11.179497,8.166179,7.613177,7.247368,8.307611,9.014011,8.932426,9.223018,8.985514,8.667453,11.043221,8.237359,8.196040,9.341979,8.745842,9.369556,11.379411,8.126733,8.593035,9.101989,8.918424,8.826150,9.013881,8.464943,8.722561,8.884178,8.736894,7.871030,9.141488,9.760111,11.468296,8.537219,8.254000,9.299969,6.872353,8.693377,8.715187,7.801575,7.956509,7.197076,8.010955,7.329325,7.075309,8.100639,7.177228,9.507423,7.089190,9.483730,7.579517,6.867817,8.186100,7.072229,8.727270,9.519340,7.244901,8.185434,7.176259,9.208482,7.297551,9.303304,7.389493
COMBO_025_R14,2.936707,5.237469,5.978403,7.123204,9.566302,5.592551,4.874137,6.040989,9.503934,2.828133,9.197767,9.440345,9.249516,7.425484,9.265188,9.579109,3.035677,4.486468,2.545238,9.544714,9.097620,2.751309,2.818861,4.311655,4.827644,9.669636,3.573339,2.859875,2.784486,4.649515,1.654343,4.584528,8.282594,3.587046,9.284784,8.331342,7.778180,0.354798,1.566262,3.615749,2.308513,1.669411,1.856296,0.000000,2.101206,3.563279,3.627440,0.670781,3.144969,0.587083,1.900366,3.720246,1.657923,3.251691,1.923179,1.454004,3.387417,2.976149,8.859885,3.904490,10.758151,10.582497,9.504047,10.740772,10.627838,9.880940,9.806664,10.515766,9.642254,9.851307,10.752017,10.548239,9.967545,10.079797,9.893083,10.981589,9.773592,9.667268,8.655651,9.983893,9.617174,10.483272,10.521856,10.098545,10.897942,10.179227,9.691184,10.931379,9.511981,10.576224,7.628608,7.415490,7.014544,7.771187,8.382384,8.126713,8.442562,8.361189,8.027578,10.232645,7.478462,7.715650,8.893734,8.104075,8.571487,10.797334,7.585913,7.790473,8.280621,8.238347,7.998524,8.420582,7.685844,7.875053,8.078104,8.084735,7.616694,8.343914,8.964066,10.634067,8.604341,8.293113,9.282733,6.301362,8.706688,8.087544,7.861096,7.647170,6.480704,8.012671,7.533763,6.535963,7.668968,6.484592,8.866533,6.450965,8.812352,7.779005,6.434845,8.137459,6.506204,8.099696,8.803326,6.717342,8.181462,7.408789,9.217187,6.618350,8.672035,6.709634
COMBO_025_R15,3.488470,6.201302,7.092005,7.607678,9.446081,6.647772,4.758992,7.067337,9.399337,3.575726,9.038443,9.349442,9.599637,7.882446,9.117329,9.497860,3.537628,4.364816,3.624896,9.446062,9.291607,3.493284,3.650204,4.215934,4.848851,9.457521,3.797154,3.645070,3.251064,4.496238,1.158545,4.616825,8.616045,3.079257,8.952345,8.648142,8.441931,2.107471,1.329751,3.941867,1.811766,0.836093,1.089120,2.101206,0.000000,3.380579,3.390661,2.561976,3.748798,2.481088,1.529681,3.123277,1.728037,3.443521,1.461316,2.561051,2.825375,1.642532,8.583681,4.438549,11.106776,10.966056,9.439126,11.096304,11.047759,9.838685,10.620789,10.829981,9.365899,9.600238,11.087419,10.882446,10.592945,10.704142,10.573252,11.291850,10.272344,10.228799,8.714338,9.707915,10.198070,10.988934,10.887822,9.856489,11.225492,10.602169,10.281847,11.265983,10.215587,10.972196,7.418914,7.016522,6.539917,7.554864,8.341483,8.264498,8.536092,8.284689,7.974489,11.050686,8.185003,7.407216,8.910021,8.048021,8.693094,10.671396,7.361508,7.921222,8.426677,8.259938,8.148032,8.310173,7.764721,8.035596,8.211442,8.051346,7.269246,8.478042,9.245467,11.434320,8.377774,7.905794,9.172323,7.219554,8.336858,8.876797,7.456689,8.399571,7.310732,7.727820,7.067975,7.406505,8.478686,7.327906,9.260913,7.465738,9.228363,7.333005,7.072276,7.839522,7.406832,8.878734,9.251131,7.554911,7.921356,6.938306,9.081094,7.615124,9.037516,7.733127
COMBO_025_R16,4.765297,6.444615,7.486716,7.725242,9.577337,6.543014,5.909317,7.508815,9.568085,4.340554,9.255750,9.521472,9.722808,7.953966,9.321286,9.533372,4.631738,5.632576,4.468309,9.584279,9.449302,4.861524,4.752645,5.329788,5.724029,10.405018,5.060417,4.692380,4.314165,5.691790,3.084012,5.117028,8.387556,1.769522,10.625529,9.383932,8.508774,3.459150,3.134007,2.198301,3.043102,3.242796,3.528835,3.563279,3.380579,0.000000,0.387984,3.741482,1.976928,3.569162,3.764957,1.146627,3.068490,1.968491,2.997913,3.546478,5.077113,4.336222,10.226591,3.066024,10.549244,10.424075,9.343777,10.461944,10.459565,9.600085,10.095289,10.329551,10.061866,10.301417,10.568589,10.335213,9.756586,9.776812,9.661993,10.789188,9.602117,9.368020,8.695513,10.431361,9.332310,10.281797,10.338915,10.533044,10.697198,10.593120,9.912527,10.663272,9.406525,10.362901,6.931909,7.680764,7.074229,7.073556,7.911773,7.736489,8.042639,7.912535,7.495449,10.482087,6.724402,6.945104,9.238357,7.814035,8.240828,10.197283,6.909298,7.397671,7.960046,7.768428,7.619449,7.813195,7.223375,7.494302,7.737458,7.558483,7.885872,7.987045,8.903577,10.926592,9.136564,8.569686,9.794345,6.952920,8.960713,8.887041,8.153390,8.429139,7.174076,8.462262,8.057873,7.227089,8.498751,7.182315,9.259910,7.415894,9.168734,8.410974,6.551076,8.557728,7.129929,8.898734,9.112618,7.390622,8.611660,7.998428,9.703223,7.406830,9.029875,7.581788
COMBO_025_R17,4.749373,6.459504,7.550492,7.692944,9.412465,6.614755,5.764175,7.568698,9.401971,4.285372,9.092392,9.351449,9.611503,7.921428,9.158097,9.363761,4.563380,5.488582,4.491739,9.413702,9.368599,4.888575,4.734897,5.164257,5.640055,10.255993,4.975624,4.685093,4.273916,5.553406,3.131786,5.108932,8.482535,1.640704,10.644838,9.457780,8.603975,3.519283,3.186882,2.507986,3.070633,3.294977,3.619027,3.627440,3.390661,0.387984,0.000000,3.826933,2.009664,3.640920,3.840510,1.187438,3.119515,1.881819,2.998374,3.648351,5.122805,4.360719,10.281378,3.366294,10.429700,10.312700,9.128423,10.335310,10.348244,9.377481,10.068231,10.220230,9.930563,10.170832,10.445051,10.219601,9.699030,9.717250,9.615265,10.659189,9.542896,9.315722,8.476026,10.299536,9.283132,10.178581,10.222653,10.393631,10.571246,10.515946,9.879021,10.531882,9.366701,10.251667,6.704901,7.454138,6.815102,6.856239,7.701810,7.519841,7.836263,7.703007,7.283173,10.439925,6.714634,6.728156,9.069946,7.615671,8.042873,9.999370,6.688901,7.190922,7.754554,7.557180,7.415179,7.614424,7.010404,7.299689,7.529031,7.338832,7.654304,7.778608,8.718046,10.871404,9.042916,8.438538,9.696223,6.998533,8.824733,8.920962,8.022031,8.521475,7.175601,8.325264,7.964834,7.268794,8.549917,7.191001,9.200013,7.468639,9.103754,8.324308,6.596061,8.423826,7.171423,8.930319,9.039840,7.423107,8.478979,7.914703,9.608135,7.441652,8.965753,7.619394
COMBO_025_R18,2.965860,4.860811,5.584923,7.054956,9.635995,5.276507,4.997472,5.704396,9.569305,2.876263,9.261524,9.497723,9.163333,7.361214,9.339699,9.630217,3.111424,4.656844,2.391633,9.611704,8.977689,2.679138,2.756969,4.508961,4.774518,9.674230,3.672430,2.822338,2.925414,4.822367,1.987886,4.713004,8.065462,3.805645,9.297265,8.300168,7.549934,0.855771,1.827480,3.609044,2.681131,2.020136,2.134786,0.670781,2.561976,3.741482,3.826933,0.000000,3.251259,0.568499,2.023281,4.004412,1.860534,3.495127,2.280749,1.647799,3.722424,3.331095,8.836556,3.823330,10.586496,10.393405,9.573570,10.583523,10.430174,9.949839,9.546304,10.347939,9.719229,9.916765,10.585141,10.377980,9.793750,9.908698,9.681110,10.832078,9.590739,9.493284,8.657251,10.052960,9.431105,10.251810,10.339972,10.154844,10.737288,10.000080,9.441864,10.770617,9.324065,10.389936,7.858469,7.554071,7.209539,8.009050,8.556829,8.284976,8.618867,8.557216,8.224265,9.895513,7.306377,7.976360,8.948446,8.291232,8.744591,10.998688,7.826823,7.961329,8.446573,8.413546,8.173155,8.628519,7.876930,8.064893,8.242790,8.272368,7.733899,8.497875,9.035278,10.308379,8.568077,8.387816,9.201702,6.016169,8.801973,7.814739,7.964919,7.370749,6.281116,8.037094,7.662099,6.271777,7.401021,6.270246,8.799523,6.117642,8.743363,7.877872,6.275994,8.209325,6.227515,7.832244,8.725893,6.464499,8.192847,7.536594,9.143481,6.300578,8.619571,6.358962
COMBO_025_R19,4.113319,5.900570,6.688051,7.167458,9.178522,5.736517,5.555435,6.661496,9.152261,3.812179,8.882448,9.077907,9.375350,7.407043,8.911060,9.135323,3.969738,5.256609,3.888933,9.187232,9.307771,4.210258,4.023900,4.898704,5.471306,10.052672,4.477346,4.137362,3.893272,5.353325,3.468328,4.778178,8.206191,2.434826,10.264830,9.101312,8.107502,3.060525,3.467184,2.412761,3.552487,3.590858,3.850930,3.144969,3.748798,1.976928,2.009664,3.251259,0.000000,3.113046,3.942532,2.434421,3.411491,1.623105,3.395210,3.242698,4.934814,4.557366,9.889568,3.061655,10.171663,10.059711,8.792083,10.089546,10.087173,9.140122,9.531619,9.951111,9.634302,9.864997,10.209917,9.971788,9.362564,9.399410,9.253399,10.396150,9.257462,8.980078,8.203864,10.035835,8.938245,9.930216,9.974804,10.119481,10.314319,10.213148,9.489197,10.301680,8.925535,9.993402,6.929572,7.483986,6.924395,7.108648,7.886110,7.412624,7.699057,7.769483,7.330591,9.948674,6.659745,7.077974,8.892418,7.692753,7.841793,9.841023,6.971187,7.090089,7.575686,7.528611,7.303403,7.794725,6.940773,7.243058,7.355554,7.369816,7.660580,7.642926,8.584317,10.325859,8.852597,8.273597,9.466543,6.625074,8.642898,8.435088,7.868353,8.243361,6.622787,8.271542,7.761147,6.868329,8.136515,6.654767,8.757304,6.948002,8.652658,8.003853,6.150255,8.056865,6.791820,8.451428,8.576187,7.033756,8.412303,7.607428,9.415579,6.939456,8.551406,7.083371
COMBO_025_R20,3.120997,5.003761,5.798811,7.022431,9.602203,5.388930,5.090213,5.903902,9.540743,2.837574,9.264678,9.476865,9.104521,7.335452,9.325328,9.595288,3.163405,4.708222,2.539711,9.578348,8.945404,2.933931,2.895360,4.511175,4.869373,9.787855,3.764798,2.963224,2.963033,4.892365,1.797405,4.796383,8.240457,3.774262,9.577296,8.400632,7.656999,0.542633,1.683589,3.540287,2.323648,1.947256,2.218905,0.587083,2.481088,3.569162,3.640920,0.568499,3.113046,0.000000,2.208727,3.863032,1.617935,3.394064,1.975267,1.440794,3.945546,3.470034,9.132540,3.812997,10.540318,10.352932,9.490799,10.520334,10.385887,9.845516,9.463519,10.318895,9.832130,10.025980,10.542770,10.336980,9.624268,9.726014,9.530310,10.783201,9.470438,9.339293,8.643259,10.146289,9.284068,10.189744,10.306580,10.245129,10.689223,9.929658,9.378969,10.715093,9.180718,10.335583,7.465267,7.479009,7.074090,7.604146,8.164670,7.919822,8.236986,8.186733,7.840284,9.893457,7.064197,7.571006,8.869550,7.902085,8.369557,10.704389,7.428592,7.581242,8.070916,8.046814,7.775053,8.215395,7.480161,7.647429,7.872155,7.900648,7.657294,8.126824,8.718850,10.297248,8.784088,8.520066,9.402853,6.076877,8.925714,7.907458,8.099615,7.534141,6.272298,8.170710,7.842093,6.341712,7.549055,6.280190,8.708767,6.251918,8.644015,8.092867,6.387258,8.365551,6.288730,7.919811,8.616043,6.533103,8.328234,7.727994,9.352175,6.399375,8.518375,6.486459
COMBO_025_R21,3.060748,5.345474,6.187908,7.357546,9.651926,5.944504,4.743506,6.229101,9.572245,3.433613,9.166302,9.500198,9.638259,7.650697,9.279004,9.673659,3.376679,4.417914,3.064475,9.638073,9.277186,2.777712,3.162360,4.404170,4.491314,9.387888,3.622050,3.167848,3.147985,4.533195,1.502764,4.487362,8.168964,3.360956,8.471106,8.558789,8.101013,2.066921,1.372299,3.900564,2.608833,1.112400,0.800926,1.900366,1.529681,3.764957,3.840510,2.023281,3.942532,2.208727,0.000000,3.682718,1.803363,3.747557,2.086235,2.582591,2.831541,1.881732,8.015016,4.273051,11.021273,10.844661,9.602238,11.052037,10.914723,10.029124,10.376837,10.734491,9.243964,9.467765,11.002309,10.794209,10.626808,10.750552,10.517440,11.240914,10.297844,10.298870,8.631888,9.618016,10.243859,10.815644,10.772312,9.757750,11.159783,10.521776,10.081501,11.203536,10.197154,10.871726,8.183296,7.362937,7.056896,8.360674,9.032666,8.894119,9.219142,8.941020,8.649155,10.562363,8.270701,8.263828,9.139661,8.749803,9.353664,11.402778,8.160339,8.573481,9.084643,8.873180,8.847684,9.066899,8.487417,8.792566,8.856581,8.697193,7.589561,9.125824,9.638069,10.996813,8.142215,7.935007,8.915665,6.733936,8.382558,8.532772,7.478401,7.899031,7.056539,7.661250,7.037979,6.938451,7.960017,7.042277,9.392274,6.913178,9.368062,7.282286,6.862221,7.830061,6.938464,8.548097,9.396143,7.110049,7.833790,6.884540,8.827451,7.141580,9.206416,7.179449
